Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1414 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southwest bound ,Vehicle count  - Motorcycles northeast bound ,Vehicle count  - Cars and Light Vans southwest bound ,Vehicle count  - Cars and Light Vans northeast bound ,Vehicle count  - Cars with Trailer southwest bound ,Vehicle count  - Cars with Trailer northeast bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southwest bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northeast bound ,Vehicle count  - Articulated HGVs southwest bound ,Vehicle count  - Articulated HGVs northeast bound ,Vehicle count  - Buses and Coaches southwest bound ,Vehicle count  - Buses and Coaches northeast bound ,Vehicle speed  - Vehicles Speed southwest bound (km/h),Vehicle speed  - Vehicles Speed northeast bound (km/h)
27/04/2022 00:00,4,9,312,281,0,0,2,4,0,0,3,0,49.28,48.78,,
27/04/2022 01:00,0,7,229,164,0,0,3,1,0,0,0,0,50.49,46.72,,
27/04/2022 02:00,0,2,163,123,0,0,3,2,0,0,0,0,50.41,47.87,,
27/04/2022 03:00,0,4,111,90,0,0,3,3,2,0,0,0,49.59,47.97,,
27/04/2022 04:00,2,2,111,95,0,0,4,3,0,1,0,0,51.11,50.21,,
27/04/2022 05:00,0,5,109,118,0,0,13,8,2,1,2,0,48.13,51.38,,
27/04/2022 06:00,3,12,347,268,0,0,11,8,0,0,3,0,48.93,50.51,,
27/04/2022 07:00,5,20,803,622,1,1,29,25,2,0,5,0,44.53,47.56,,
27/04/2022 08:00,2,24,844,1021,0,0,30,31,6,11,6,0,43.4,38.23,,
27/04/2022 09:00,8,15,784,903,0,0,54,23,5,0,5,0,42.79,41.51,,
27/04/2022 10:00,3,11,670,786,1,0,53,30,2,1,7,0,43.44,41.43,,
