Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1017 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southbound ,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans southbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer southbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs southbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches southbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed southbound (km/h),Vehicle speed  - Vehicles Speed northbound (km/h)
05/09/2022 01:00,0,0,86,62,0,0,0,2,0,2,3,0,42.9,40.77,,
05/09/2022 01:30,0,0,50,38,0,0,0,0,0,0,2,0,44.52,41.48,,
05/09/2022 02:00,0,0,43,32,0,0,0,0,0,0,2,0,39.73,39.62,,
05/09/2022 02:30,0,0,42,32,0,0,0,0,0,0,2,0,44.57,41.65,,
05/09/2022 03:00,0,0,36,27,0,0,0,0,0,0,1,0,43.87,41.32,,
05/09/2022 03:30,0,0,28,23,0,0,0,0,0,0,2,0,46.47,40.92,,
05/09/2022 04:00,0,0,12,17,0,0,0,0,0,0,1,0,37.73,41.25,,
05/09/2022 04:30,0,0,15,16,0,0,1,2,0,0,2,1,40.48,40.48,,
05/09/2022 05:00,0,0,14,9,0,0,1,0,0,0,3,0,45.97,42.27,,
05/09/2022 05:30,0,0,18,23,0,0,0,0,0,0,3,1,45.03,42.27,,
05/09/2022 06:00,0,0,25,20,0,0,2,2,0,0,5,0,43.95,36.35,,
05/09/2022 06:30,0,0,32,31,0,0,6,2,0,0,6,0,43.1,42.62,,
05/09/2022 07:00,1,0,51,91,1,0,7,6,0,0,8,0,42.28,43.38,,
05/09/2022 07:30,4,0,101,157,0,0,9,4,1,1,11,0,41.88,42.12,,
05/09/2022 08:00,1,0,150,241,1,1,5,4,1,1,10,1,35.48,35.63,,
05/09/2022 08:30,4,1,158,245,2,0,8,6,7,2,8,3,20.05,31.27,,
05/09/2022 09:00,0,0,150,226,0,0,10,12,1,1,15,0,38.38,33.5,,
05/09/2022 09:30,0,0,112,140,0,1,10,9,0,1,13,1,39.97,41.18,,
05/09/2022 10:00,1,2,96,121,0,0,10,6,0,0,12,0,41.1,42.17,,
05/09/2022 10:30,1,0,125,125,0,0,14,4,1,0,11,3,40.75,40.73,,
05/09/2022 11:00,0,0,110,114,0,0,10,7,1,0,14,1,41.75,40.92,,
05/09/2022 11:30,2,1,118,110,0,0,14,4,1,0,15,0,40.62,41.48,,
05/09/2022 12:00,2,0,119,151,1,0,7,8,0,0,15,1,39.77,40.8,,
05/09/2022 12:30,3,0,140,122,0,0,12,8,0,0,18,0,41.25,42.37,,
05/09/2022 13:00,3,0,156,159,2,0,9,3,1,0,13,0,41.37,41.17,,
05/09/2022 13:30,3,1,156,149,1,0,13,7,0,0,16,0,41.3,41.67,,
05/09/2022 14:00,4,1,152,165,0,0,3,8,1,1,14,1,40.08,40.22,,
05/09/2022 14:30,5,1,188,158,0,0,7,3,0,0,15,0,40.78,41.02,,
05/09/2022 15:00,2,1,195,155,0,1,7,3,0,1,17,0,39.95,38.12,,
05/09/2022 15:30,3,0,279,205,0,1,11,10,1,2,15,0,29.15,29.65,,
05/09/2022 16:00,7,4,173,152,4,2,17,6,6,9,7,5,15.63,21.85,,
05/09/2022 16:30,15,0,274,156,5,0,7,6,0,0,18,1,37.42,39.67,,
05/09/2022 17:00,18,2,240,156,0,0,5,4,1,0,16,0,37.85,39.63,,
05/09/2022 17:30,21,2,233,144,0,0,4,1,1,0,13,0,37.75,41.37,,
05/09/2022 18:00,12,0,212,158,0,0,10,3,1,0,14,0,38.02,39.65,,
05/09/2022 18:30,6,0,194,142,0,0,1,3,1,1,13,0,39.57,40,,
05/09/2022 19:00,2,1,151,175,0,0,7,3,1,0,10,0,41.45,40.93,,
05/09/2022 19:30,2,0,171,173,0,0,2,0,0,1,13,0,39,38.75,,
05/09/2022 20:00,6,0,154,146,0,0,3,2,0,1,12,0,36.55,37.68,,
05/09/2022 20:30,3,2,135,144,0,0,3,1,1,0,7,1,37.88,38.68,,
05/09/2022 21:00,2,0,119,125,1,0,2,1,0,1,8,0,38.7,39.32,,
05/09/2022 21:30,2,1,108,126,0,0,0,3,0,0,5,0,39.08,38.83,,
05/09/2022 22:00,1,1,133,99,0,0,3,2,1,0,10,0,39.43,40.37,,
05/09/2022 22:30,3,1,108,91,0,0,2,1,0,0,7,0,39.28,39.73,,
05/09/2022 23:00,2,1,82,94,0,0,1,1,0,0,8,1,39.43,40.32,,
05/09/2022 23:30,0,0,80,75,0,0,0,0,0,0,8,0,41.63,39.53,,
06/09/2022 00:00,1,0,76,74,0,0,0,0,2,0,6,0,42.37,40.98,,
06/09/2022 00:30,1,0,67,43,0,0,0,0,1,0,3,0,41.12,39.28,,
06/09/2022 01:00,0,0,41,50,0,0,0,0,0,1,3,0,43.27,42.65,,
06/09/2022 01:30,0,0,49,37,0,0,0,1,0,0,3,0,44.48,39.55,,
06/09/2022 02:00,0,0,47,39,0,0,0,1,0,0,3,0,42.4,40.32,,
06/09/2022 02:30,0,0,42,26,0,0,0,0,0,0,3,0,43.53,40.88,,
06/09/2022 03:00,0,0,20,17,0,0,0,1,0,0,3,0,44.92,33.38,,
06/09/2022 03:30,0,0,22,14,0,0,1,0,0,0,3,0,47.8,32.73,,
06/09/2022 04:00,0,0,21,15,0,0,0,0,0,0,3,0,48.35,34.63,,
06/09/2022 04:30,0,0,21,17,0,0,0,2,0,0,2,0,40.38,40.57,,
06/09/2022 05:00,0,0,16,16,0,1,0,1,0,0,4,0,46.07,38.15,,
06/09/2022 05:30,1,0,18,21,0,0,1,1,0,0,3,0,37.58,43.8,,
06/09/2022 06:00,0,1,23,18,0,0,2,0,0,2,5,0,42.15,43.55,,
06/09/2022 06:30,1,0,30,29,0,0,2,0,1,0,7,0,38.35,44.08,,
