Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1017 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southbound ,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans southbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer southbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs southbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches southbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed southbound (km/h),Vehicle speed  - Vehicles Speed northbound (km/h)
29/06/2022 23:00,0,0,25,23,0,0,0,0,0,0,1,0,41.5,40.8,,
29/06/2022 23:05,0,0,29,20,0,0,0,0,0,0,0,0,41.5,40.6,,
29/06/2022 23:10,0,0,18,26,0,0,1,0,0,0,2,0,39.7,41.8,,
29/06/2022 23:15,0,0,19,13,0,0,0,1,0,0,1,0,43.9,39.7,,
29/06/2022 23:20,0,0,14,23,0,0,0,0,0,0,3,0,41.9,40.4,,
29/06/2022 23:25,1,0,20,15,0,0,0,0,1,0,1,0,39.4,40.5,,
29/06/2022 23:30,1,0,21,20,0,0,0,0,0,0,0,0,39.5,40.6,,
29/06/2022 23:35,1,0,23,24,0,0,2,0,0,0,0,0,38.4,38.6,,
29/06/2022 23:40,1,0,16,21,0,0,0,0,0,0,2,0,36.2,38.9,,
29/06/2022 23:45,0,0,16,22,0,0,1,0,0,0,1,0,41.6,40.6,,
29/06/2022 23:50,1,1,20,21,0,0,1,0,0,0,3,0,35.6,39.5,,
29/06/2022 23:55,0,0,17,10,0,0,0,0,0,0,0,0,48.5,42.6,,
30/06/2022 00:00,0,0,18,23,0,0,0,0,0,0,2,0,39.8,39.7,,
30/06/2022 00:05,1,0,16,18,0,0,1,0,0,0,1,0,37.1,41.1,,
