Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1312 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles westbound ,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle speed  - Vehicles Speed westbound (km/h),Vehicle speed  - Vehicles Speed eastbound (km/h)
27/04/2022 00:00,0,1,119,141,0,0,0,0,0,0,3,0,47.63,50.83,,
27/04/2022 01:00,0,1,59,78,0,0,0,0,0,0,0,0,53.4,51.89,,
27/04/2022 02:00,0,0,32,25,0,0,0,0,0,0,0,0,46.83,45,,
27/04/2022 03:00,0,0,23,21,0,0,0,0,1,0,0,0,36.85,47.44,,
27/04/2022 04:00,0,0,28,20,0,0,1,2,0,1,0,1,44.94,42.25,,
27/04/2022 05:00,0,0,47,22,0,0,2,0,0,1,0,1,50.57,36.89,,
27/04/2022 06:00,1,1,118,113,0,1,4,4,2,0,2,4,50.16,49.91,,
27/04/2022 07:00,2,2,382,383,1,1,5,16,0,0,6,7,46.77,47.26,,
27/04/2022 08:00,4,5,631,564,0,0,13,10,0,0,8,9,41.32,42.35,,
27/04/2022 09:00,4,1,473,423,0,0,14,22,0,0,10,7,42.63,44.53,,
27/04/2022 10:00,1,5,370,338,1,0,15,23,1,0,6,7,43.97,45.78,,
27/04/2022 11:00,0,2,397,394,0,1,15,19,0,1,8,5,43.68,43.87,,
27/04/2022 12:00,2,10,399,422,0,0,12,6,2,2,8,4,43.71,44.84,,
27/04/2022 13:00,2,38,452,373,1,0,9,7,0,0,6,3,43.19,44.38,,
27/04/2022 14:00,1,6,426,433,0,0,14,9,2,0,8,7,44.11,45.54,,
27/04/2022 15:00,0,0,505,503,3,1,7,13,0,0,8,8,42.74,44.28,,
27/04/2022 16:00,0,3,593,540,0,0,8,8,0,0,7,7,43.42,45.1,,
27/04/2022 17:00,0,6,588,646,0,0,6,7,1,0,7,6,41.95,44.08,,
27/04/2022 18:00,0,1,536,605,1,0,1,6,2,2,9,6,43.63,44.7,,
27/04/2022 19:00,0,2,490,574,0,0,2,4,0,0,7,5,44.53,45.23,,
27/04/2022 20:00,0,5,398,404,0,0,2,1,0,0,8,5,45.07,47.2,,
27/04/2022 21:00,0,2,339,327,0,0,2,1,0,0,6,3,44.97,44.94,,
27/04/2022 22:00,1,1,256,310,0,0,1,1,0,0,3,2,46.78,47.58,,
27/04/2022 23:00,0,1,151,213,0,0,0,0,0,0,3,1,47.65,48.52,,
28/04/2022 00:00,1,0,131,141,0,0,0,0,0,1,3,0,49.09,49.22,,
28/04/2022 01:00,0,0,63,81,0,0,0,1,0,0,0,0,49.78,50.62,,
28/04/2022 02:00,0,0,31,39,0,0,0,0,1,0,0,0,42.33,43.15,,
28/04/2022 03:00,0,0,32,18,0,0,0,4,0,0,0,0,51.53,36.22,,
28/04/2022 04:00,0,0,25,25,0,0,0,0,0,0,0,0,42.77,50.53,,
28/04/2022 05:00,0,0,55,31,0,0,2,0,0,2,0,1,50.89,38.76,,
28/04/2022 06:00,1,1,106,111,0,0,2,3,1,0,2,4,50.02,49.73,,
28/04/2022 07:00,0,1,342,388,2,0,7,10,1,0,5,8,46.77,46.53,,
28/04/2022 08:00,0,5,640,574,2,0,14,19,0,2,7,7,40.5,42.12,,
