Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1312 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles westbound ,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle speed  - Vehicles Speed westbound (km/h),Vehicle speed  - Vehicles Speed eastbound (km/h)
25/04/2022 01:00,0,0,35,41,0,0,0,0,0,0,0,0,51.03,51.4,,
25/04/2022 01:30,0,0,23,32,0,0,0,0,0,0,0,0,48.27,51.48,,
25/04/2022 02:00,0,0,17,30,0,0,0,0,1,0,0,0,51.42,53.75,,
25/04/2022 02:30,0,0,11,20,0,0,0,0,0,0,0,0,32.87,44.4,,
25/04/2022 03:00,0,0,6,9,0,0,0,0,0,0,0,0,50.98,52.98,,
25/04/2022 03:30,0,0,10,8,0,0,0,2,0,0,0,0,33.97,38.68,,
25/04/2022 04:00,0,0,7,7,0,0,0,1,0,0,0,0,46.95,58.13,,
25/04/2022 04:30,0,0,12,17,0,0,0,0,0,0,0,0,38.9,51.52,,
25/04/2022 05:00,0,0,16,7,0,0,1,0,0,0,0,0,51.42,33.55,,
25/04/2022 05:30,0,0,29,17,0,0,0,0,0,0,0,1,48.5,44.4,,
25/04/2022 06:00,2,0,32,30,0,0,2,2,0,0,1,2,50.68,48.73,,
25/04/2022 06:30,0,0,81,73,0,0,2,2,1,0,1,2,49.58,49,,
25/04/2022 07:00,0,2,119,114,0,0,1,3,1,0,2,3,49.78,48.47,,
25/04/2022 07:30,2,0,219,243,0,2,1,5,0,0,1,4,45.33,46.82,,
25/04/2022 08:00,1,0,280,293,2,0,4,4,0,1,4,3,42.73,43.15,,
25/04/2022 08:30,1,1,292,276,1,0,5,3,0,1,7,6,42.27,44.47,,
25/04/2022 09:00,0,2,256,236,0,0,8,6,0,0,2,4,43.45,45.22,,
25/04/2022 09:30,0,0,214,174,0,0,5,10,0,0,4,2,43.48,46.58,,
25/04/2022 10:00,0,0,174,177,0,1,9,6,0,0,4,3,43.88,45.83,,
25/04/2022 10:30,0,0,191,167,0,0,8,6,0,0,4,4,44,44.18,,
25/04/2022 11:00,0,0,197,152,0,0,10,8,0,1,3,4,44.08,43.48,,
25/04/2022 11:30,0,0,197,183,0,1,6,4,0,0,4,3,43.77,45.22,,
25/04/2022 12:00,1,3,172,196,0,0,4,12,0,0,4,3,45.32,45.72,,
25/04/2022 12:30,0,1,206,190,0,0,3,7,0,0,3,3,42.68,43.17,,
25/04/2022 13:00,1,1,217,184,1,1,5,1,0,1,5,3,42.02,44.53,,
25/04/2022 13:30,0,2,184,184,0,0,5,7,0,0,3,4,43.53,45.48,,
25/04/2022 14:00,0,1,205,229,1,1,6,1,0,0,3,3,44.57,45.27,,
25/04/2022 14:30,0,0,253,251,1,0,4,9,0,0,3,4,43.48,44.62,,
25/04/2022 15:00,0,3,277,225,0,0,0,7,0,0,5,3,41.68,43.7,,
25/04/2022 15:30,0,1,230,279,0,0,4,7,0,1,4,8,41.78,43.33,,
25/04/2022 16:00,1,0,297,226,0,1,3,4,0,0,2,4,43.42,46.35,,
25/04/2022 16:30,0,0,278,271,0,0,2,5,0,0,4,4,42.9,45.52,,
25/04/2022 17:00,1,0,258,281,0,0,3,3,0,0,7,3,42.9,46.32,,
25/04/2022 17:30,1,1,248,263,0,0,3,2,1,0,4,4,43.88,45.43,,
25/04/2022 18:00,1,10,263,277,0,0,2,2,0,0,3,3,44.1,46.07,,
25/04/2022 18:30,0,2,254,238,0,0,1,2,0,0,4,3,44.6,45.73,,
25/04/2022 19:00,0,2,227,243,0,0,2,2,0,1,3,2,45.1,46.1,,
25/04/2022 19:30,1,0,209,232,0,0,1,1,0,0,3,4,45.52,47.47,,
25/04/2022 20:00,0,2,202,215,0,0,0,0,0,0,4,1,45.12,46.93,,
25/04/2022 20:30,0,0,146,165,0,0,0,0,0,0,2,3,46.85,47.13,,
25/04/2022 21:00,0,1,133,135,0,0,1,1,0,0,3,1,44.78,46.35,,
25/04/2022 21:30,1,1,155,146,0,0,1,1,0,0,2,2,45.42,45.18,,
25/04/2022 22:00,0,1,133,166,0,0,0,2,0,0,3,1,45.87,46.23,,
25/04/2022 22:30,0,1,91,139,0,0,1,1,0,0,1,1,47.3,47.12,,
25/04/2022 23:00,0,0,78,105,0,0,0,0,0,0,2,1,47.45,48.75,,
25/04/2022 23:30,0,0,73,75,0,0,0,0,0,0,1,1,50.07,49.93,,
26/04/2022 00:00,0,0,54,77,0,0,0,1,0,0,2,0,49.92,49.13,,
26/04/2022 00:30,0,0,40,43,0,0,0,0,0,0,1,0,46.9,52.73,,
26/04/2022 01:00,0,0,26,46,0,0,0,0,0,0,0,0,49.52,51.65,,
26/04/2022 01:30,0,0,24,21,0,0,0,0,0,0,0,0,48.55,51.65,,
26/04/2022 02:00,0,0,17,15,0,0,0,2,0,0,0,0,50.92,54.45,,
26/04/2022 02:30,0,0,14,9,0,0,0,0,0,0,0,0,48.18,54.57,,
26/04/2022 03:00,0,0,8,9,0,0,0,0,0,1,0,0,42.25,38,,
26/04/2022 03:30,0,0,9,6,0,0,0,1,0,0,0,0,49.63,49.63,,
26/04/2022 04:00,0,0,9,14,0,0,0,0,0,0,0,0,44.27,47.05,,
26/04/2022 04:30,1,1,13,7,0,0,0,0,0,0,0,0,41.58,51.65,,
26/04/2022 05:00,0,0,22,10,0,0,2,1,0,0,0,0,53.28,45.63,,
26/04/2022 05:30,0,0,41,22,0,0,0,2,0,1,0,1,47.12,51.55,,
26/04/2022 06:00,0,0,30,39,0,0,2,1,0,0,1,2,52.58,51.37,,
26/04/2022 06:30,0,0,73,63,1,0,2,2,2,0,2,2,48.27,49.4,,
26/04/2022 07:00,1,0,134,123,0,0,2,5,1,0,2,4,49.27,48.17,,
26/04/2022 07:30,0,0,227,293,0,0,4,4,0,0,2,4,45.6,45.4,,
26/04/2022 08:00,1,1,279,292,2,0,2,6,0,0,5,4,42.07,42.88,,
26/04/2022 08:30,1,2,323,257,0,1,2,11,0,0,9,6,42.17,43.07,,
26/04/2022 09:00,0,1,276,232,1,1,6,8,0,0,6,4,44.38,46.08,,
26/04/2022 09:30,3,0,238,173,0,0,6,10,0,0,4,2,43.53,46.07,,
26/04/2022 10:00,1,0,207,171,0,0,4,9,0,0,3,4,43.32,45.87,,
26/04/2022 10:30,0,5,168,146,0,0,7,6,0,1,4,2,44.75,45.43,,
26/04/2022 11:00,0,22,194,155,0,0,9,2,0,0,3,1,43.97,44.97,,
26/04/2022 11:30,3,3,226,195,0,0,5,9,0,0,3,5,42.3,44.47,,
26/04/2022 12:00,1,1,207,219,0,1,5,4,0,0,4,2,41.97,44.82,,
26/04/2022 12:30,3,3,199,223,0,1,0,10,0,0,2,2,42.83,44.17,,
26/04/2022 13:00,1,3,216,228,1,0,6,6,0,0,4,2,42.97,45.38,,
26/04/2022 13:30,2,0,217,206,0,0,5,8,1,0,3,5,42.85,45.02,,
26/04/2022 14:00,0,2,229,211,2,0,8,6,0,0,4,3,42.07,44.37,,
26/04/2022 14:30,1,3,254,218,0,0,7,8,0,0,5,6,42.92,44.68,,
26/04/2022 15:00,0,0,294,249,2,0,6,5,0,0,3,5,41.98,44.87,,
26/04/2022 15:30,1,1,208,298,0,0,3,3,0,0,4,5,43.47,44.77,,
26/04/2022 16:00,0,0,289,240,0,0,3,5,0,0,2,5,43,45.07,,
26/04/2022 16:30,2,1,272,273,0,0,3,4,0,0,4,3,43.6,45.4,,
26/04/2022 17:00,0,0,308,298,0,0,4,6,0,0,3,3,43.73,44.45,,
26/04/2022 17:30,0,0,270,314,0,0,1,3,0,0,3,4,43.4,45.82,,
26/04/2022 18:00,2,1,255,339,0,1,2,2,0,0,4,2,43.82,45.32,,
26/04/2022 18:30,1,1,255,318,1,0,1,0,0,0,5,3,43.87,44.3,,
