Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1312 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles westbound ,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle speed  - Vehicles Speed westbound (km/h),Vehicle speed  - Vehicles Speed eastbound (km/h)
28/04/2022 00:00,1,0,17,13,0,0,0,0,0,0,1,0,42.6,51.1,,
28/04/2022 00:05,0,0,16,17,0,0,0,0,0,0,1,0,45.2,45.2,,
28/04/2022 00:10,0,0,12,17,0,0,0,0,0,0,0,0,49.6,48,,
28/04/2022 00:15,0,0,10,15,0,0,0,0,0,0,0,0,46.7,52.8,,
28/04/2022 00:20,0,0,12,11,0,0,0,0,0,1,0,0,48.3,49,,
28/04/2022 00:25,0,0,13,15,0,0,0,0,0,0,0,0,49.2,50.7,,
28/04/2022 00:30,0,0,11,11,0,0,0,0,0,0,1,0,51,49.4,,
28/04/2022 00:35,0,0,6,11,0,0,0,0,0,0,0,0,51,50.1,,
28/04/2022 00:40,0,0,14,6,0,0,0,0,0,0,0,0,46.6,51,,
28/04/2022 00:45,0,0,4,9,0,0,0,0,0,0,0,0,58.3,46.9,,
28/04/2022 00:50,0,0,12,9,0,0,0,0,0,0,0,0,48.3,48.7,,
28/04/2022 00:55,0,0,4,7,0,0,0,0,0,0,0,0,52.3,47.7,,
28/04/2022 01:00,0,0,4,11,0,0,0,0,0,0,0,0,48.3,53.8,,
28/04/2022 01:05,0,0,8,11,0,0,0,0,0,0,0,0,50.3,46.5,,
28/04/2022 01:10,0,0,4,10,0,0,0,0,0,0,0,0,48.3,50.7,,
28/04/2022 01:15,0,0,5,6,0,0,0,0,0,0,0,0,44.3,55,,
28/04/2022 01:20,0,0,2,6,0,0,0,0,0,0,0,0,56.3,59,,
28/04/2022 01:25,0,0,8,5,0,0,0,0,0,0,0,0,45.3,47.5,,
28/04/2022 01:30,0,0,7,7,0,0,0,0,0,0,0,0,54.6,53.5,,
28/04/2022 01:35,0,0,7,3,0,0,0,0,0,0,0,0,50,46.9,,
28/04/2022 01:40,0,0,3,8,0,0,0,0,0,0,0,0,46.9,48.3,,
28/04/2022 01:45,0,0,5,7,0,0,0,1,0,0,0,0,53.9,50.3,,
28/04/2022 01:50,0,0,4,4,0,0,0,0,0,0,0,0,52.3,46.3,,
28/04/2022 01:55,0,0,6,3,0,0,0,0,0,0,0,0,46.9,49.6,,
28/04/2022 02:00,0,0,5,2,0,0,0,0,0,0,0,0,52.3,44.3,,
28/04/2022 02:05,0,0,1,3,0,0,0,0,0,0,0,0,68.4,52.3,,
28/04/2022 02:10,0,0,6,7,0,0,0,0,0,0,0,0,49.6,46.6,,
28/04/2022 02:15,0,0,2,6,0,0,0,0,0,0,0,0,52.3,57.7,,
28/04/2022 02:20,0,0,0,7,0,0,0,0,0,0,0,0,0,50,,
28/04/2022 02:25,0,0,7,3,0,0,0,0,0,0,0,0,48.9,49.6,,
28/04/2022 02:30,0,0,1,4,0,0,0,0,0,0,0,0,52.3,52.3,,
28/04/2022 02:35,0,0,1,0,0,0,0,0,0,0,0,0,52.3,0,,
28/04/2022 02:40,0,0,4,3,0,0,0,0,1,0,0,0,45.9,52.3,,
28/04/2022 02:45,0,0,0,2,0,0,0,0,0,0,0,0,0,52.3,,
28/04/2022 02:50,0,0,3,2,0,0,0,0,0,0,0,0,57.7,60.4,,
28/04/2022 02:55,0,0,1,0,0,0,0,0,0,0,0,0,28.2,0,,
28/04/2022 03:00,0,0,4,2,0,0,0,0,0,0,0,0,58.3,48.3,,
28/04/2022 03:05,0,0,4,3,0,0,0,0,0,0,0,0,58.3,55,,
28/04/2022 03:10,0,0,3,2,0,0,0,0,0,0,0,0,60.4,56.3,,
28/04/2022 03:15,0,0,2,0,0,0,0,0,0,0,0,0,40.2,0,,
28/04/2022 03:20,0,0,3,4,0,0,0,2,0,0,0,0,52.3,48.3,,
28/04/2022 03:25,0,0,3,1,0,0,0,0,0,0,0,0,41.6,52.3,,
28/04/2022 03:30,0,0,1,1,0,0,0,1,0,0,0,0,44.3,44.3,,
28/04/2022 03:35,0,0,3,0,0,0,0,0,0,0,0,0,55,0,,
28/04/2022 03:40,0,0,3,0,0,0,0,0,0,0,0,0,55,0,,
28/04/2022 03:45,0,0,2,1,0,0,0,1,0,0,0,0,56.3,44.3,,
28/04/2022 03:50,0,0,2,1,0,0,0,0,0,0,0,0,48.3,36.2,,
28/04/2022 03:55,0,0,2,3,0,0,0,0,0,0,0,0,48.3,49.6,,
