Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,
Platform: Drakewell  1421 (Automatic Traffic Counter) ,,,,,,,,
,,,,,,,,
timestamp,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed northbound (km/h)
27/04/2022 00:00,0,0,0,0,0,0,0,
27/04/2022 01:00,0,0,0,0,0,0,0,
27/04/2022 02:00,0,0,0,0,0,0,0,
27/04/2022 03:00,0,0,0,0,0,0,0,
27/04/2022 04:00,0,0,0,0,0,0,0,
27/04/2022 05:00,0,0,0,0,0,0,0,
27/04/2022 06:00,0,0,0,0,0,0,0,
27/04/2022 07:00,1,5,0,0,0,0,1.33,
27/04/2022 08:00,0,1,0,0,0,0,0.33,
27/04/2022 09:00,2,3,0,1,0,0,1.67,
27/04/2022 10:00,0,1,0,0,0,0,0.33,
27/04/2022 11:00,5,6,0,2,0,0,2.17,
27/04/2022 12:00,0,0,0,0,0,0,0,
27/04/2022 13:00,0,0,0,0,0,0,0,
27/04/2022 14:00,2,4,0,1,0,0,1.89,
27/04/2022 15:00,1,4,0,1,0,0,2,
27/04/2022 16:00,1,3,0,0,0,0,1.57,
27/04/2022 17:00,0,0,0,0,0,0,0,
27/04/2022 18:00,0,0,0,0,0,0,0,
27/04/2022 19:00,0,0,0,0,0,0,0,
27/04/2022 20:00,0,0,0,0,0,0,0,
27/04/2022 21:00,0,0,0,0,0,0,0,
27/04/2022 22:00,0,0,0,0,0,0,0,
27/04/2022 23:00,0,0,0,0,0,0,0,
28/04/2022 00:00,0,0,0,0,0,0,0,
28/04/2022 01:00,0,0,0,0,0,0,0,
28/04/2022 02:00,0,0,0,0,0,0,0,
28/04/2022 03:00,0,0,0,0,0,0,0,
28/04/2022 04:00,0,0,0,0,0,0,0,
28/04/2022 05:00,0,0,0,0,0,0,0,
28/04/2022 06:00,0,0,0,0,0,0,0,
28/04/2022 07:00,1,4,0,1,1,0,1.78,
28/04/2022 08:00,5,2,0,0,0,0,2.57,
28/04/2022 09:00,0,0,0,1,1,0,0.67,
28/04/2022 10:00,1,9,0,0,0,0,1.58,
28/04/2022 11:00,2,7,0,0,1,0,2.79,
28/04/2022 12:00,0,7,0,1,1,0,2.23,
28/04/2022 13:00,0,0,0,0,0,0,0,
28/04/2022 14:00,2,1,0,1,0,0,1.33,
28/04/2022 15:00,3,7,0,1,1,0,2.84,
28/04/2022 16:00,1,0,0,1,0,0,0.33,
28/04/2022 17:00,0,0,0,0,0,0,0,
28/04/2022 18:00,0,0,0,0,0,0,0,
