Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1426 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Motorcycles westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle speed  - Vehicles Speed eastbound (km/h),Vehicle speed  - Vehicles Speed westbound (km/h)
28/04/2022 00:00,0,2,142,80,0,0,4,7,8,11,1,0,86.33,68.83,,
28/04/2022 01:00,0,1,59,60,0,0,1,2,5,8,0,0,88.15,61.97,,
28/04/2022 02:00,0,0,44,75,0,0,6,3,9,8,0,0,91.81,68.57,,
28/04/2022 03:00,0,3,68,111,0,0,5,6,14,6,0,0,89.65,78.32,,
28/04/2022 04:00,0,7,104,127,0,0,2,4,17,17,0,0,88.96,77.62,,
28/04/2022 05:00,0,3,148,181,0,0,19,8,26,23,1,0,89.03,84.09,,
28/04/2022 06:00,3,14,373,344,1,3,32,25,30,54,4,2,91.57,87.74,,
28/04/2022 07:00,7,20,1093,805,4,5,76,51,31,67,3,1,89.47,88.88,,
28/04/2022 08:00,10,41,1447,948,12,8,91,60,44,88,3,1,86.07,83.49,,
28/04/2022 09:00,6,26,1010,708,7,10,82,69,43,78,3,0,86,84.03,,
28/04/2022 10:00,0,29,808,593,8,7,82,56,32,60,3,1,85.21,81.38,,
28/04/2022 11:00,4,28,790,553,8,8,51,56,44,67,4,2,84.83,81.46,,
28/04/2022 12:00,4,43,911,629,5,6,58,60,33,78,4,2,85.84,80.47,,
28/04/2022 13:00,4,38,853,643,5,5,83,59,39,56,2,1,85.82,80.75,,
28/04/2022 14:00,6,41,969,671,7,9,52,58,36,62,4,2,85.08,80.28,,
28/04/2022 15:00,5,43,1233,824,5,14,46,75,23,73,7,2,87.13,84.3,,
28/04/2022 16:00,12,53,1429,1089,11,5,40,55,20,73,7,1,86.83,84.73,,
28/04/2022 17:00,7,32,1677,1165,1,10,38,58,17,58,5,3,85.59,88.42,,
28/04/2022 18:00,5,30,1236,899,8,10,19,22,13,41,3,3,88.45,87.11,,
28/04/2022 19:00,0,22,722,553,2,2,13,22,5,34,2,2,89.45,86.1,,
28/04/2022 20:00,1,14,472,386,1,2,9,20,8,26,1,0,89.58,87.48,,
28/04/2022 21:00,2,15,348,298,1,0,2,8,5,18,1,2,90.52,82.52,,
28/04/2022 22:00,3,7,342,295,1,0,4,7,7,14,1,0,92.17,86.57,,
28/04/2022 23:00,0,4,202,181,0,0,1,3,3,6,1,0,88.94,83.64,,
