Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1426 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Motorcycles westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle speed  - Vehicles Speed eastbound (km/h),Vehicle speed  - Vehicles Speed westbound (km/h)
28/04/2022 00:00,0,0,18,10,0,0,0,0,0,1,0,0,93,91.4,,
28/04/2022 00:05,0,0,26,6,0,0,0,0,1,0,0,0,90.3,69.7,,
28/04/2022 00:10,0,0,19,7,0,0,0,0,1,1,0,0,83.7,92.1,,
28/04/2022 00:15,0,0,10,7,0,0,0,0,0,2,0,0,96.6,84.9,,
28/04/2022 00:20,0,0,12,3,0,0,2,2,0,0,0,0,83.9,78.9,,
28/04/2022 00:25,0,0,13,9,0,0,1,1,0,0,0,0,94.3,78.9,,
28/04/2022 00:30,0,0,8,5,0,0,0,1,1,2,1,0,91.7,65.3,,
28/04/2022 00:35,0,0,8,12,0,0,0,1,0,0,0,0,80.5,65,,
28/04/2022 00:40,0,1,7,9,0,0,0,0,2,0,0,0,86.7,61.2,,
28/04/2022 00:45,0,1,4,7,0,0,0,0,2,1,0,0,67.1,59.9,,
28/04/2022 00:50,0,0,10,4,0,0,0,2,0,1,0,0,88.5,42.5,,
28/04/2022 00:55,0,0,7,1,0,0,1,0,1,3,0,0,79.6,36.2,,
28/04/2022 01:00,0,0,9,3,0,0,1,0,0,1,0,0,96.6,52.3,,
28/04/2022 01:05,0,0,2,7,0,0,0,0,1,1,0,0,83.1,62.4,,
28/04/2022 01:10,0,0,3,5,0,0,0,0,2,0,0,0,82.1,53.1,,
28/04/2022 01:15,0,0,6,3,0,0,0,0,0,1,0,0,96.6,40.2,,
28/04/2022 01:20,0,0,5,7,0,0,0,0,0,1,0,0,85.3,74.4,,
28/04/2022 01:25,0,0,1,2,0,0,0,0,0,1,0,0,88.5,61.7,,
28/04/2022 01:30,0,0,4,7,0,0,0,1,0,0,0,0,84.5,70.4,,
28/04/2022 01:35,0,0,4,4,0,0,0,0,0,0,0,0,88.5,36.2,,
28/04/2022 01:40,0,0,8,6,0,0,0,0,1,0,0,0,86.7,85.8,,
28/04/2022 01:45,0,1,7,5,0,0,0,0,0,0,0,0,86.2,77.8,,
28/04/2022 01:50,0,0,5,6,0,0,0,0,0,2,0,0,104.6,68.4,,
28/04/2022 01:55,0,0,5,5,0,0,0,1,1,1,0,0,75.1,60.9,,
28/04/2022 02:00,0,0,1,5,0,0,1,0,0,0,0,0,104.6,45.6,,
28/04/2022 02:05,0,0,2,3,0,0,0,1,0,0,0,0,96.6,48.3,,
28/04/2022 02:10,0,0,1,6,0,0,0,0,0,1,0,0,104.6,65.5,,
28/04/2022 02:15,0,0,8,6,0,0,1,1,3,3,0,0,81.8,91.7,,
28/04/2022 02:20,0,0,7,8,0,0,1,0,1,0,0,0,86.7,40.2,,
28/04/2022 02:25,0,0,3,8,0,0,0,0,0,2,0,0,88.5,82.1,,
28/04/2022 02:30,0,0,4,6,0,0,1,0,0,0,0,0,91.7,72.4,,
28/04/2022 02:35,0,0,4,5,0,0,2,0,1,0,0,0,86.2,62.8,,
28/04/2022 02:40,0,0,3,5,0,0,0,0,2,0,0,0,82.1,82.1,,
28/04/2022 02:45,0,0,5,6,0,0,0,1,1,1,0,0,99.2,62.4,,
28/04/2022 02:50,0,0,3,7,0,0,0,0,1,1,0,0,80.5,92.5,,
28/04/2022 02:55,0,0,3,10,0,0,0,0,0,0,0,0,99.2,77.2,,
28/04/2022 03:00,0,0,10,3,0,0,1,0,0,0,0,0,88.5,88.5,,
28/04/2022 03:05,0,2,2,7,0,0,0,1,0,0,0,0,88.5,86.9,,
28/04/2022 03:10,0,1,6,15,0,0,0,0,3,1,0,0,81.4,71.5,,
28/04/2022 03:15,0,0,2,10,0,0,1,1,1,1,0,0,84.5,68.4,,
28/04/2022 03:20,0,0,5,11,0,0,0,1,0,0,0,0,88.5,69.7,,
28/04/2022 03:25,0,0,8,12,0,0,0,1,1,0,0,0,88.5,78.2,,
28/04/2022 03:30,0,0,2,5,0,0,2,0,0,2,0,0,96.6,83.9,,
28/04/2022 03:35,0,0,7,6,0,0,0,0,2,0,0,0,99.2,77.8,,
28/04/2022 03:40,0,0,8,10,0,0,1,1,2,0,0,0,91.4,62.2,,
28/04/2022 03:45,0,0,9,8,0,0,0,0,0,0,0,0,92.1,82.5,,
28/04/2022 03:50,0,0,3,5,0,0,0,1,2,1,0,0,91.7,82.5,,
28/04/2022 03:55,0,0,6,19,0,0,0,0,3,1,0,0,84.9,87.7,,
28/04/2022 04:00,0,0,7,6,0,0,0,0,2,1,0,0,90.3,63.2,,
28/04/2022 04:05,0,0,7,11,0,0,0,0,0,1,0,0,67.8,69.7,,
28/04/2022 04:10,0,1,12,10,0,0,0,0,1,1,0,0,91,88.5,,
28/04/2022 04:15,0,2,4,7,0,0,0,1,1,1,0,0,82.1,65.1,,
28/04/2022 04:20,0,0,9,9,0,0,0,0,1,2,0,0,95,85.6,,
28/04/2022 04:25,0,1,7,14,0,0,0,0,1,4,0,0,96.6,88.5,,
28/04/2022 04:30,0,1,9,10,0,0,0,0,1,2,0,0,85.3,71.2,,
28/04/2022 04:35,0,0,6,7,0,0,0,0,4,0,0,0,93.3,90.8,,
28/04/2022 04:40,0,2,9,13,0,0,0,1,2,2,0,0,95.8,76.9,,
28/04/2022 04:45,0,0,12,18,0,0,1,1,2,0,0,0,88.5,75.8,,
28/04/2022 04:50,0,0,13,9,0,0,0,0,2,3,0,0,91.7,69.9,,
28/04/2022 04:55,0,0,9,13,0,0,1,1,0,0,0,0,90.1,86.2,,
28/04/2022 05:00,0,1,5,14,0,0,1,0,3,2,0,0,81.4,76.2,,
28/04/2022 05:05,0,0,10,10,0,0,0,0,0,0,0,0,90.1,82.1,,
28/04/2022 05:10,0,0,12,11,0,0,1,1,2,2,1,0,91.5,81.6,,
28/04/2022 05:15,0,0,9,13,0,0,3,2,3,1,0,0,90.7,78.5,,
28/04/2022 05:20,0,1,16,14,0,0,5,0,2,0,0,0,88.5,93.9,,
28/04/2022 05:25,0,0,11,12,0,0,1,1,1,4,0,0,87.3,88.5,,
28/04/2022 05:30,0,0,13,19,0,0,2,2,2,2,0,0,94.2,84.3,,
