Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1426 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Motorcycles westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle speed  - Vehicles Speed eastbound (km/h),Vehicle speed  - Vehicles Speed westbound (km/h)
29/06/2022 23:00,0,1,12,13,0,0,1,0,0,1,0,0,79.8,68.1,,
29/06/2022 23:05,0,1,21,17,0,0,0,1,1,0,0,0,87.1,71.6,,
29/06/2022 23:10,0,0,19,13,0,0,0,0,0,1,0,0,80.9,75.9,,
29/06/2022 23:15,0,2,18,22,0,0,0,0,4,3,0,0,87.1,78.4,,
29/06/2022 23:20,0,1,20,9,0,0,0,1,0,2,0,0,90.9,79.8,,
29/06/2022 23:25,0,2,25,13,0,0,0,0,0,0,0,0,78.2,74.6,,
29/06/2022 23:30,0,0,14,17,0,0,0,0,1,0,1,0,86.5,77.2,,
29/06/2022 23:35,0,0,19,16,0,0,0,0,0,2,0,0,91.1,96.6,,
29/06/2022 23:40,0,0,7,13,1,0,0,0,1,0,0,0,76,67.8,,
29/06/2022 23:45,0,1,19,8,0,0,0,0,0,1,0,0,90.2,82.1,,
29/06/2022 23:50,0,0,6,16,0,0,2,1,1,1,0,0,90.3,76.9,,
29/06/2022 23:55,0,1,14,14,0,0,0,0,1,1,0,0,88.5,76.4,,
30/06/2022 00:00,0,0,17,15,0,0,1,0,1,0,0,0,88.5,72.4,,
30/06/2022 00:05,0,0,15,13,0,0,0,0,1,0,0,0,95.6,72.4,,
30/06/2022 00:10,0,0,15,10,0,0,1,1,1,0,0,0,98.9,53.4,,
30/06/2022 00:15,0,0,9,10,0,0,0,0,0,0,0,0,92.1,85.6,,
30/06/2022 00:20,0,0,13,13,0,0,0,1,0,1,0,0,92.2,79.9,,
30/06/2022 00:25,0,0,8,8,0,0,0,0,0,0,0,0,96.6,54.3,,
30/06/2022 00:30,0,0,5,8,0,0,0,0,0,1,0,0,85.3,95.7,,
30/06/2022 00:35,0,1,7,6,0,0,0,0,0,0,0,0,83.9,58.6,,
30/06/2022 00:40,0,0,11,9,0,0,0,0,2,1,0,0,84.8,80.5,,
30/06/2022 00:45,0,0,10,9,0,0,0,0,0,0,0,0,96.6,86.7,,
30/06/2022 00:50,1,0,4,5,0,0,0,0,0,0,0,0,82.1,62.8,,
30/06/2022 00:55,0,1,5,11,0,0,0,0,0,0,0,0,95,69.5,,
30/06/2022 01:00,0,0,7,5,0,0,0,0,0,0,0,0,79.3,56.3,,
30/06/2022 01:05,0,1,7,6,0,0,0,1,0,2,0,0,95.4,70.8,,
30/06/2022 01:10,0,0,2,6,0,0,0,0,0,0,0,0,88.5,59,,
30/06/2022 01:15,0,0,8,7,0,0,0,0,0,0,0,0,90.5,63.2,,
30/06/2022 01:20,0,0,12,4,0,0,0,0,1,1,0,0,89.8,88.5,,
30/06/2022 01:25,0,0,12,2,0,0,0,2,0,0,0,0,97.9,68.4,,
30/06/2022 01:30,0,0,5,7,0,0,0,0,0,1,0,0,101.4,38.2,,
30/06/2022 01:35,0,0,4,12,0,0,0,0,0,1,0,0,92.5,77.4,,
