Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1305 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles westbound ,Vehicle count  - Motorcycles eastbound ,Vehicle count  - Cars and Light Vans westbound ,Vehicle count  - Cars and Light Vans eastbound ,Vehicle count  - Cars with Trailer westbound ,Vehicle count  - Cars with Trailer eastbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses westbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses eastbound ,Vehicle count  - Articulated HGVs westbound ,Vehicle count  - Articulated HGVs eastbound ,Vehicle count  - Buses and Coaches westbound ,Vehicle count  - Buses and Coaches eastbound ,Vehicle speed  - Vehicles Speed westbound (km/h),Vehicle speed  - Vehicles Speed eastbound (km/h)
14/11/2021 00:00,1,0,59,23,0,0,1,1,0,0,0,0,55.93333333,62.13333333,,
14/11/2021 00:15,0,0,46,31,0,0,0,0,0,0,0,0,59.76666667,58.3,,
14/11/2021 00:30,0,0,42,25,0,0,0,0,0,0,0,0,55.9,56.7,,
14/11/2021 00:45,0,0,55,34,0,0,2,2,0,0,0,0,60.36666667,58.46666667,,
14/11/2021 01:00,0,0,29,22,0,0,2,0,0,0,0,0,59.46666667,56.66666667,,
14/11/2021 01:15,0,0,30,19,0,0,0,0,1,0,0,0,55.96666667,62.36666667,,
14/11/2021 01:30,0,0,45,21,0,0,1,0,0,0,0,0,55.43333333,53.3,,
14/11/2021 01:45,0,0,25,29,0,0,0,0,0,0,0,0,63.16666667,61.4,,
14/11/2021 02:00,0,0,24,22,0,0,1,0,0,0,0,0,59.36666667,58.4,,
14/11/2021 02:15,0,0,23,16,0,0,0,0,0,0,0,0,59.53333333,61.7,,
14/11/2021 02:30,0,0,19,6,0,0,0,0,0,0,0,0,58.1,65.26666667,,
14/11/2021 02:45,0,0,19,16,0,0,2,1,0,0,0,0,59.96666667,64,,
14/11/2021 03:00,0,0,10,10,0,0,0,0,0,0,0,0,36.66666667,55.9,,
14/11/2021 03:15,0,0,22,7,0,0,0,0,0,0,0,0,58.43333333,61.7,,
14/11/2021 03:30,0,0,18,17,0,0,1,3,0,0,0,0,64.06666667,61.83333333,,
14/11/2021 03:45,0,0,11,17,0,0,0,0,0,0,0,0,65.7,64.76666667,,
14/11/2021 04:00,0,0,20,21,0,0,0,0,1,0,0,0,59.4,60.3,,
14/11/2021 04:15,0,0,11,6,0,0,1,0,0,0,0,0,64.3,63.46666667,,
14/11/2021 04:30,0,0,14,13,0,0,0,2,0,0,0,0,62.06666667,61.5,,
14/11/2021 04:45,0,0,8,10,0,0,1,1,0,0,0,0,57.66666667,62.6,,
14/11/2021 05:00,0,0,7,9,0,0,1,0,0,0,0,0,40.23333333,66.16666667,,
14/11/2021 05:15,0,0,18,16,0,0,1,0,0,0,0,0,57.33333333,64.4,,
14/11/2021 05:30,0,0,9,24,0,0,1,0,0,1,0,0,54.16666667,59.13333333,,
14/11/2021 05:45,0,0,13,31,1,1,1,0,0,0,0,0,62.96666667,60.33333333,,
14/11/2021 06:00,0,0,12,29,0,0,0,1,0,0,0,0,61.66666667,62.6,,
14/11/2021 06:15,0,0,24,34,0,0,1,3,0,0,0,0,59.46666667,61.9,,
14/11/2021 06:30,0,1,22,39,0,0,0,4,0,1,0,0,56.1,60.83333333,,
14/11/2021 06:45,0,1,25,48,0,0,0,4,0,1,0,0,59.43333333,62.23333333,,
14/11/2021 07:00,0,0,27,47,0,0,3,1,1,1,0,0,58.33333333,59.33333333,,
14/11/2021 07:15,1,0,33,49,0,0,3,6,0,0,0,0,56.6,59.36666667,,
14/11/2021 07:30,0,0,27,65,0,0,1,6,1,0,0,0,57.46666667,60.66666667,,
14/11/2021 07:45,0,0,26,55,0,0,0,6,0,1,0,0,53.76666667,61.36666667,,
14/11/2021 08:00,1,0,20,58,0,0,1,2,0,0,0,0,55.4,60.3,,
14/11/2021 08:15,0,0,32,62,0,0,3,0,0,0,1,0,59.16666667,62.43333333,,
14/11/2021 08:30,0,1,45,76,0,0,3,0,0,0,0,1,57,60.4,,
14/11/2021 08:45,0,1,43,81,0,0,3,3,0,0,1,1,55.33333333,59.66666667,,
14/11/2021 09:00,0,0,57,112,0,0,6,4,0,0,1,0,54.96666667,58.26666667,,
14/11/2021 09:15,2,0,65,128,0,0,1,7,0,0,1,1,54.36666667,58.06666667,,
14/11/2021 09:30,0,0,87,167,1,0,1,3,0,0,0,1,55.76666667,57.83333333,,
14/11/2021 09:45,1,1,90,184,0,0,4,4,0,0,0,1,54.1,56.9,,
14/11/2021 10:00,0,1,113,191,0,0,4,0,0,2,1,0,53.2,56.6,,
14/11/2021 10:15,3,0,116,189,1,1,4,2,0,0,1,0,53.13333333,56.96666667,,
14/11/2021 10:30,1,2,129,177,1,0,5,2,0,0,0,1,52.23333333,55.96666667,,
14/11/2021 10:45,1,0,115,182,0,0,1,1,0,1,2,1,53.03333333,57.86666667,,
14/11/2021 11:00,0,0,124,178,0,1,3,2,0,2,1,2,55.03333333,56.8,,
14/11/2021 11:15,1,0,142,205,0,1,1,4,0,0,0,0,52.33333333,56.66666667,,
14/11/2021 11:30,1,1,162,186,0,0,2,0,0,0,1,0,50.26666667,56.73333333,,
14/11/2021 11:45,2,3,166,205,0,0,4,1,0,0,0,1,50,54.26666667,,
14/11/2021 12:00,1,0,206,246,0,0,4,1,0,0,1,1,47.7,53.46666667,,
14/11/2021 12:15,0,1,181,195,1,0,1,2,1,0,1,1,47.86666667,55.73333333,,
14/11/2021 12:30,0,0,193,212,1,0,2,2,0,1,1,0,46.53333333,52.43333333,,
14/11/2021 12:45,0,2,216,225,0,0,2,5,0,0,1,1,47.66666667,54.1,,
14/11/2021 13:00,0,2,215,185,0,0,3,3,1,0,1,2,47.33333333,50.4,,
14/11/2021 13:15,0,0,207,209,0,0,3,4,0,0,0,0,43.83333333,52.1,,
14/11/2021 13:30,1,0,217,189,0,0,4,1,0,0,2,1,43.33333333,55.8,,
14/11/2021 13:45,1,1,207,206,0,1,4,5,0,0,0,1,46.6,54.1,,
14/11/2021 14:00,4,0,219,198,0,0,3,1,0,0,1,1,44.8,56.33333333,,
14/11/2021 14:15,4,1,226,153,0,1,1,2,0,0,0,0,43.76666667,55.96666667,,
14/11/2021 14:30,2,0,187,180,0,0,5,4,0,0,1,0,47.9,55.8,,
14/11/2021 14:45,2,0,196,181,0,0,3,3,0,0,1,2,48.7,55.06666667,,
14/11/2021 15:00,3,0,242,161,0,0,4,0,0,0,1,0,42.93333333,57.03333333,,
14/11/2021 15:15,3,0,222,173,0,0,1,3,0,0,0,0,45.26666667,55.7,,
14/11/2021 15:30,2,0,235,173,0,0,4,3,0,0,1,3,43.2,55.26666667,,
14/11/2021 15:45,1,0,219,159,0,0,0,0,0,0,0,0,45.3,56.2,,
14/11/2021 16:00,5,0,204,172,0,0,3,0,0,1,2,0,44.96666667,54.8,,
14/11/2021 16:15,0,0,192,166,0,0,1,3,0,1,0,0,46.36666667,52.66666667,,
14/11/2021 16:30,0,0,214,167,0,0,4,1,0,0,1,3,43.06666667,52.63333333,,
14/11/2021 16:45,0,1,219,144,0,0,4,3,0,0,0,0,42.63333333,50.5,,
14/11/2021 17:00,0,0,175,119,0,0,3,3,1,0,2,0,45.3,55.56666667,,
14/11/2021 17:15,1,0,192,134,0,0,1,2,0,0,0,0,48.8,53.5,,
14/11/2021 17:30,0,0,162,123,0,0,3,4,0,0,0,3,51.36666667,54.96666667,,
14/11/2021 17:45,0,1,176,151,0,1,1,2,0,0,0,0,52.26666667,54.46666667,,
14/11/2021 18:00,1,0,144,128,0,0,2,2,0,1,3,0,53.23333333,54.06666667,,
14/11/2021 18:15,0,0,185,119,0,0,2,2,1,1,1,0,52.5,55.96666667,,
14/11/2021 18:30,0,1,162,111,0,0,3,2,0,0,0,1,55.93333333,55.6,,
14/11/2021 18:45,0,0,139,114,0,0,1,0,0,0,1,2,54.5,56.16666667,,
14/11/2021 19:00,0,0,137,109,0,0,3,2,1,1,3,0,50.7,55.23333333,,
14/11/2021 19:15,0,0,119,99,0,0,1,1,0,1,1,0,53.06666667,56.73333333,,
14/11/2021 19:30,0,0,116,95,0,0,1,0,0,0,0,2,53.1,58.23333333,,
14/11/2021 19:45,1,0,122,76,0,0,0,1,0,0,1,1,53.5,57.86666667,,
14/11/2021 20:00,0,0,93,75,0,0,2,0,0,0,1,0,54.16666667,56.4,,
14/11/2021 20:15,0,0,109,72,0,0,1,0,0,0,1,0,53.26666667,55.66666667,,
14/11/2021 20:30,0,0,106,67,0,0,1,1,0,1,0,2,53.86666667,53.8,,
14/11/2021 20:45,0,0,78,65,0,0,0,0,0,0,0,0,55.1,57,,
14/11/2021 21:00,0,0,74,47,0,0,1,0,0,0,2,0,55.23333333,58.1,,
14/11/2021 21:15,1,0,59,43,0,0,0,0,0,0,0,0,55.73333333,58.3,,
14/11/2021 21:30,0,1,69,41,0,0,1,0,0,0,0,2,53.53333333,56.26666667,,
14/11/2021 21:45,1,0,50,41,0,0,1,0,0,0,1,0,56.16666667,59.03333333,,
14/11/2021 22:00,0,0,38,36,0,0,0,0,0,0,1,0,57.3,58.3,,
14/11/2021 22:15,0,0,55,37,0,0,0,1,0,0,0,0,55.5,59.63333333,,
14/11/2021 22:30,0,0,50,25,0,0,2,0,0,0,0,2,52.66666667,57.7,,
14/11/2021 22:45,0,0,32,20,0,0,0,1,1,0,1,0,56.86666667,62.76666667,,
14/11/2021 23:00,0,0,30,24,0,0,1,0,0,0,1,0,57.06666667,58.7,,
14/11/2021 23:15,0,0,40,23,0,0,0,0,0,0,0,0,57.16666667,59.66666667,,
14/11/2021 23:30,0,0,35,13,0,0,0,0,1,0,0,1,55.9,61.86666667,,
14/11/2021 23:45,1,0,23,10,0,0,0,1,0,0,0,0,56.9,56.3,,
15/11/2021 00:00,0,0,25,12,0,0,1,0,0,0,0,1,59.33333333,69.76666667,,
15/11/2021 00:15,0,0,22,5,0,0,0,0,0,0,0,0,62.83333333,46.93333333,,
15/11/2021 00:30,0,0,17,6,0,0,0,0,0,0,0,0,59.76666667,64.36666667,,
15/11/2021 00:45,0,0,18,5,0,0,0,0,0,0,0,0,60.5,37.53333333,,
